 KIC SL Dsct/roAp RRL/Cep gDor
0 5354491 1.0 0.0 0.0 0.0
1 4169440 1.0 0.0 0.0 0.0
2 11038543 0.9933333333333333 0.006666666666666667 0.0 0.0
3 6925109 1.0 0.0 0.0 0.0
4 11775251 0.013333333333333334 0.0 0.0 0.9866666666666667
5 6861403 1.0 0.0 0.0 0.0
6 5343801 0.9983333333333333 0.0016666666666666668 0.0 0.0
7 2849148 0.91 0.08666666666666667 0.0 0.0033333333333333335
8 3231208 1.0 0.0 0.0 0.0
9 4946220 0.995 0.005 0.0 0.0
10 4041741 0.9933333333333333 0.006666666666666667 0.0 0.0
11 2424688 0.9983333333333333 0.0 0.0 0.0016666666666666668
12 5707416 1.0 0.0 0.0 0.0
13 2713305 1.0 0.0 0.0 0.0
14 6438333 1.0 0.0 0.0 0.0
15 11802860 0.0 0.006666666666666667 0.9933333333333333 0.0
16 8233917 1.0 0.0 0.0 0.0
17 2579041 0.9966666666666667 0.0033333333333333335 0.0 0.0
18 8123843 1.0 0.0 0.0 0.0
19 7427176 1.0 0.0 0.0 0.0
20 6542321 1.0 0.0 0.0 0.0
21 6870779 1.0 0.0 0.0 0.0
22 4661505 1.0 0.0 0.0 0.0
23 2847114 1.0 0.0 0.0 0.0
24 11084309 1.0 0.0 0.0 0.0
25 6870835 1.0 0.0 0.0 0.0
26 10516096 1.0 0.0 0.0 0.0
27 11026045 0.0 0.9983333333333333 0.0 0.0016666666666666668
28 6606428 1.0 0.0 0.0 0.0
29 2856795 1.0 0.0 0.0 0.0
30 2573016 0.9933333333333333 0.006666666666666667 0.0 0.0
31 5513890 1.0 0.0 0.0 0.0
32 7975647 1.0 0.0 0.0 0.0
33 11874898 0.145 0.05 0.0 0.805
34 7867854 1.0 0.0 0.0 0.0
35 5445048 1.0 0.0 0.0 0.0
36 4243508 0.9033333333333333 0.021666666666666667 0.0 0.075
37 5721975 1.0 0.0 0.0 0.0
38 6307578 1.0 0.0 0.0 0.0
39 6524037 1.0 0.0 0.0 0.0
40 11309335 0.018333333333333333 0.9816666666666667 0.0 0.0
41 7676643 1.0 0.0 0.0 0.0
42 5950668 1.0 0.0 0.0 0.0
43 5257119 0.9983333333333333 0.0016666666666666668 0.0 0.0
44 8866894 1.0 0.0 0.0 0.0
45 4255241 1.0 0.0 0.0 0.0
46 4249128 0.9983333333333333 0.0016666666666666668 0.0 0.0
47 1867358 0.97 0.03 0.0 0.0
48 11244118 1.0 0.0 0.0 0.0
49 892376 0.9633333333333334 0.008333333333333333 0.0 0.028333333333333332
50 8739025 0.995 0.005 0.0 0.0
51 6548666 0.9983333333333333 0.0016666666666666668 0.0 0.0
52 5543693 1.0 0.0 0.0 0.0
53 8872641 1.0 0.0 0.0 0.0
54 6691449 1.0 0.0 0.0 0.0
55 9273247 0.995 0.005 0.0 0.0
56 8775132 1.0 0.0 0.0 0.0
57 3219744 1.0 0.0 0.0 0.0
58 9018673 1.0 0.0 0.0 0.0
59 6962291 1.0 0.0 0.0 0.0
60 8283356 1.0 0.0 0.0 0.0
61 10812516 1.0 0.0 0.0 0.0
62 8804060 0.9933333333333333 0.006666666666666667 0.0 0.0
63 8145176 1.0 0.0 0.0 0.0
64 1873523 0.9983333333333333 0.0016666666666666668 0.0 0.0
65 5288880 1.0 0.0 0.0 0.0
